"question_id","question_text","answers","correction","reflections","creation_time","generator_signature","lisa_sheet_id","lisa_sheet_name","rank"
"1000000","Quel est le dernier événement qui se produit lors de l'expulsion du fœtus pendant l'accouchement ?","La distension du périnée postérieur;; La distension du périnée antérieur;; Le dégagement de la présentation;; La naissance de l'enfant;; La contraction utérine","[0.0, 0.0, 0.0, 1.0, 0.0]","L'expulsion du fœtus se termine avec la naissance de l'enfant, qui est le dernier événement de l'expulsion.","2024-06-07 09:46:42.879191","5-shot_llama3_basic_v1","OIC-031-11-B","Connaître les mécanismes périnéaux du dégagement de la tête fœtale","B"
"1000001","Quel est le rôle de la poussée abdominale maternelle pendant l'expulsion ?","Elle facilite la rotation de la tête fœtale;; Elle renforce la contraction utérine;; Elle prévient les déchirures périnéales;; Elle provoque la naissance de l'enfant;; Elle ralentit le dégagement de la tête fœtale","[0.0, 1.0, 0.0, 0.0, 0.0]","La poussée abdominale maternelle renforce la contraction utérine, ce qui facilite l'expulsion du fœtus.","2024-06-07 09:46:42.883891","5-shot_llama3_basic_v1","OIC-031-11-B","Connaître les mécanismes périnéaux du dégagement de la tête fœtale","B"
"1000002","Dans la démarche thérapeutique, quels sont les éléments à prendre en compte pour décider avec le patient ?","La situation clinique évoquée;; Les préférences et caractéristiques du médecin;; Les éléments conjoncturels;; Les préférences et caractéristiques du patient;; La situation familiale du patient","[0.5, 0.0, 0.5, 0.5, 0.0]","La démarche thérapeutique s'inscrit dans la démarche médicale au sens plus large. Elle comprend plusieurs étapes, dont la nomination de la situation clinique, la décision négociée avec le patient. Cette décision prend en compte plusieurs éléments, notamment la situation clinique évoquée, les préférences et caractéristiques du patient, les caractéristiques du médecin, les éléments conjoncturels.","2024-06-07 09:46:42.887893","5-shot_llama3_basic_v1","OIC-003-09-B","Connaître la logique thérapeutique","B"
"1000000","Quel est le compromis éthique qui est trouvé concernant l'interruption volontaire de grossesse ?","Le respect de la vie du fœtus et la liberté des femmes;; Le respect de la personne et la considération de la vie;; La santé publique et la sécurité des femmes;; La liberté des femmes et la morale chrétienne;; L'égalité des sexes et la vie humaine","[0.0, 1.0, 0.5, 0.0, 0.0]","Le texte montre que le droit à l'interruption volontaire de grossesse est un compromis éthique entre la considération de la personne et le respect de la vie.","2024-06-07 10:21:16.054666","5-shot_llama3_basic_v1","OIC-009-13-A","Interruption volontaire de grossesse","A"
"1000000","Parmi les IAS qui doivent être signalés, lesquels sont réglementairement obligatoires ?","Toutes les IAS responsables d’un décès;; Les IAS causées par un dispositif médical défectueux;; Les IAS avec une localisation rare;; Les IAS causées par un micro-organisme rare;; Toutes les IAS","[1.0, 1.0, 1.0, 1.0, -1.0]","Question :
Parmi les IAS qui doivent être signalés, lesquels sont réglementairement obligatoires ?","2024-06-07 10:23:28.391739","5-shot_llama3_basic_v1","OIC-004-42-A","Connaître le principe de signalement des IAS","A"
"1000000","Quels sont les domaines qui influencent les interactions entre le patient, le médecin et la société lors d'un acte médical ?","éthique et sociaux;; éthique et psychologiques;; sociaux et psychologiques;; éthique, sociaux et psychologiques;; psychologiques uniquement","[0.5, 0.5, 0.5, 1.0, 0.0]","Question :
Quels sont les domaines qui influencent les interactions entre le patient, le médecin et la société lors d'un acte médical ?","2024-06-07 10:24:13.308250","5-shot_llama3_basic_v1","OIC-001-02-A","Connaître les principaux déterminants de la relation médecin-malade","A"
"1000000","Quel est le type de violence qui relève d'une atteinte intentionnelle à une victime, que l'acte soit prémédité ou non ?","Coups et blessures involontaires;; Coups et blessures volontaires;; Incapacité Totale de Travail;; Violence psychologique;; Violence physique","[0.0, 1.0, 0.0, 0.0, 0.0]","A: Coups et blessures involontaires
B: Coups et blessures volontaires
C: Incapacité Totale de Travail
D: Violence psychologique
E: Violence physique","2024-06-07 10:27:13.066747","5-shot_llama3_basic_v1","OIC-013-03-B","Définir les coups et blessures volontaires et involontaires et l’incapacité temporaire totale (ITT)","B"
"1000001","Quel est le mécanisme par lequel le nouveau-né est infecté par ''Listeria monocytogenes'' ?","Contamination verticale au moment de l'accouchement;; Infection intra-utérine suivie d'une chorioamniotite;; Contamination par l'allaitement maternel;; Infection nosocomiale après la naissance;; Transmission hématogène à la naissance","[0.0, 1.0, 0.0, 0.0, 0.0]","Question : Quel est le mécanisme par lequel le nouveau-né est infecté par ''Listeria monocytogenes'' ?","2024-06-07 10:40:11.730011","5-shot_llama3_basic_v1","OIC-027-19-B","Connaître les mécanismes de transmission materno-fœtale de la listériose","B"
"1000002","Quel est l'un des moyens de travail en équipe pluriprofessionnelle en milieu hospitalier ?","un protocole pluriprofessionnel;; une réunion de concertation pluridisciplinaire (RCP);; une réunion de morbi-mortalité (RMM);; une équipe de soins infirmiers;; un comité de gestion hospitalier","[1.0, 1.0, 1.0, 0.0, 0.0]","Quel est l'un des moyens de travail en équipe pluriprofessionnelle en milieu hospitalier ?","2024-06-07 10:41:18.791237","5-shot_llama3_basic_v1","OIC-006-02-A","Connaître les principaux dispositifs du travail en équipe pluridisciplinaire","A"
"1000003","Dans le contexte des soins de santé, quels sont les matériaux médicaux qui doivent être stérilisés pour prévenir les risques infectieux ?","Les écouvillons utilisés pour les prélèvements sanguins;; Les sondes vésicales avant l'insertion;; Les dispositifs d'accès vasculaire à valve;; Les matériaux médicaux en contact avec la peau saine;; Les bouchons de perfusions intraveineuses","[0.0, 1.0, 1.0, 0.0, 1.0]","Question : Dans le contexte des soins de santé, quels sont les matériaux médicaux qui doivent être stérilisés pour prévenir les risques infectieux ?","2024-06-07 10:43:09.084237","5-shot_llama3_basic_v1","OIC-004-14-A","Connaître les règles de l’utilisation des antiseptiques","A"
