"learning_objective","description","predictedItem","itemTitle"
"learning_objective_01","La relation médecin-malade","1","La relation médecin-malade dans le cadre du colloque singulier ou au sein d’une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L’annonce d’une maladie grave ou létale ou d’un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale."
"learning_objective_02","Les valeurs professionnelles du médecin et des autres professions de santé","2","Les valeurs professionnelles du médecin et des autres professions de santé"
"learning_objective_03","Le raisonnement et la décision en médecine","3","Le raisonnement et la décision en médecine. La médecine fondée sur les preuves (Evidence Based Medicine, EBM). La décision médicale partagée. La controverse"
"learning_objective_04","La sécurité du patient. La gestion des risques. Les évènements indésirables associés aux soins (EIAS)","4","Qualité et sécurité des soins. La sécurité du patient. La gestion des risques. Les événements indésirables associés aux soins (EIAS). Démarche qualité et évaluation des pratiques professionnelles"
"learning_objective_05","La gestion des erreurs et des plaintes , l'aléa thérapeutique","5","Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique"
"learning_objective_06","L'organisation de l'exercice clinique et les méthodes qui permettent de sécuriser le parcours du patient","6","L’organisation de l’exercice clinique et les méthodes qui permettent de sécuriser le parcours du patient"
"learning_objective_07","Les droits individuels et collectifs du patient","7","Les droits individuels et collectifs du patient"
"learning_objective_079","Altération de la fonction visuelle (voir item 127)","82","Altération aiguë de la vision"
"learning_objective_08","Ethique médicale","0","Item Not Found"
"learning_objective_080","Anomalie de la vision d'apparition brutale","82","Altération aiguë de la vision"
"learning_objective_081","Oeil rouge et/ou douloureux","83","Infections et inflammations oculaires"
"learning_objective_082","Glaucome chronique","84","Glaucomes"
"learning_objective_083","Troubles de la réfraction","85","Troubles de la réfraction"
"learning_objective_084","Pathologie des paupières","86","Pathologie des paupières"
"learning_objective_085","Epistaxis","87","Epistaxis"
"learning_objective_086","Trouble aigu de la parole. Dysphonie","88","Trouble aigu de la parole. Dysphonie"
"learning_objective_087","Altération de la fonction auditive (voir item 127)","89","Altération de la fonction auditive"
"learning_objective_088","Pathologie des glandes salivaires","90","Pathologie des glandes salivaires"
"learning_objective_089","Déficit neurologique récent (voir item 335)","0","Item Not Found"
"learning_objective_09","Certificats médicaux. Décès et législation. Prélèvements d'organes et législation","13","Certificats médicaux. Décès et législation"
"learning_objective_090","Déficit moteur et/ou sensitif des membres","92","Déficit moteur et/ou sensitif des membres"
"learning_objective_091","Compression médullaire non traumatique et syndrome de la queue de cheval","93","Compression médullaire non traumatique et syndrome de la queue de cheval"
"learning_objective_092","Rachialgie","94","Rachialgie"
"learning_objective_093","Radiculalgie et syndrome canalaire","95","Radiculalgie et syndrome canalaire"
"learning_objective_094","Neuropathies périphériques","96","Neuropathies périphériques"
"learning_objective_095","Polyradiculonévrite aiguë inflammatoire (syndrome de Guillain-Barré)","97","Polyradiculonévrite aiguë inflammatoire (syndrome de Guillain-Barré)"
"learning_objective_096","Myasthénie","98","Myasthénie"
"learning_objective_097","Migraine, névralgie du trijumeau et algies de la face","99","Migraine, névralgie du trijumeau et algies de la face"
"learning_objective_098","Céphalée aiguë et chronique chez l'adulte et l'enfant","100","Céphalée inhabituelle aiguë et chronique chez l’adulte et l’enfant"
"learning_objective_099","Paralysie faciale","101","Paralysie faciale"
"learning_objective_10","Violences sexuelles","12","Violences sexuelles"
"learning_objective_100","Diplopie","102","Diplopie"
"learning_objective_101","Vertige","103","Vertige"
"learning_objective_102","Sclérose en plaques","104","Sclérose en plaques"
"learning_objective_103","Épilepsie de l'enfant et de l'adulte","105","Épilepsie de l’enfant et de l’adulte"
"learning_objective_104","Maladie de Parkinson","106","Maladie de Parkinson"
"learning_objective_105","Mouvements anormaux","0","Item Not Found"
"learning_objective_106","Confusion, démences (voir item 129).","108","Confusion, démences."
"learning_objective_107","Troubles de la marche et de l'équilibre","109","Troubles de la marche et de l’équilibre"
"learning_objective_108","Troubles du sommeil de l'enfant et de l'adulte","110","Troubles du sommeil de l’enfant et de l’adulte"
"learning_objective_109","Dermatoses faciales : acné, rosacée, dermatite séborrhéique","111","Dermatoses faciales : acné, rosacée, dermatite séborrhéique"
"learning_objective_11","Soins psychiatriques sans consentement","15","Soins psychiatriques sans consentement"
"learning_objective_110","Dermatose bulleuse touchant la peau et/ou les muqueuses externes","112","Dermatose bulleuse touchant la peau et/ou les muqueuses externes"
"learning_objective_111","Hémangiomes et malformations vasculaires cutanées","0","Item Not Found"
"learning_objective_112","Exanthème et érythrodermie de l'adulte et de l'enfant","114","Exanthème et érythrodermie de l’adulte et de l’enfant."
"learning_objective_113","Prurit","116","Prurit"
"learning_objective_114","Psoriasis","117","Psoriasis"
"learning_objective_115","La personne handicapée : bases de l'évaluation fonctionnelle et thérapeutique","118","La personne handicapée : bases de l’évaluation fonctionnelle et thérapeutique."
"learning_objective_116","Complications de l'immobilité et du décubitus. Prévention et prise en charge","120","Complications de l’immobilité et du décubitus. Prévention et prise en charge"
"learning_objective_117","Le handicap psychique (voir item 54 et 115)","121","Le handicap psychique."
"learning_objective_118","Principales techniques de rééducation et de réadaptation (voir item 53)","122","Principales techniques de rééducation et de réadaptation."
"learning_objective_119","Vieillissement normal : aspects biologiques, fonctionnels et relationnels.","123","Vieillissement normal : aspects biologiques, fonctionnels et relationnels. Données épidémiologiques et sociologiques. Prévention du vieillissement pathologique"
"learning_objective_12","Responsabilités médicale pénale, civile, administrative et disciplinaire","5","Responsabilités médicale pénale, civile, administrative et disciplinaire. La gestion des erreurs et des plaintes ; l’aléa thérapeutique"
"learning_objective_120","Ménopause et andropause","124","Ménopause, insuffisance ovarienne prématurée, andropause, déficit androgénique lié à l’âge."
"learning_objective_121","Troubles de la miction et incontinence urinaire de l'adulte et du sujet âgé","0","Item Not Found"
"learning_objective_122","Trouble de l'érection","126","Trouble de l’érection"
"learning_objective_123","Hypertrophie bénigne de la prostate","0","Item Not Found"
"learning_objective_124","Ostéopathies fragilisantes","128","Ostéopathies fragilisantes"
"learning_objective_125","Arthrose","129","Arthrose"
"learning_objective_126","La personne âgée malade : particularités sémiologiques, psychologiques et thérapeutiques","130","La personne âgée malade : particularités sémiologiques, psychologiques et thérapeutiques."
"learning_objective_127","Déficit neurosensoriel chez le sujet âgé (voir item 79 et item 87)","0","Item Not Found"
"learning_objective_128","Troubles de la marche et de l'équilibre (voir item 107)","109","Troubles de la marche et de l’équilibre"
"learning_objective_129","Troubles cognitifs du sujet âgé (voir item 106)","132","Troubles cognitifs du sujet âgé."
"learning_objective_13","Principes d'une démarche qualité et évaluation des pratiques professionnelles","4","Qualité et sécurité des soins. La sécurité du patient. La gestion des risques. Les événements indésirables associés aux soins (EIAS). Démarche qualité et évaluation des pratiques professionnelles"
"learning_objective_130","Autonomie et dépendance chez le sujet âgé","133","Autonomie et dépendance chez le sujet âgé"
"learning_objective_131","Bases neurophysiologiques, mécanismes physiopathologiques d'une douleur aiguë et d'une douleur chronique","134","Bases neurophysiologiques, mécanismes physiopathologiques d’une douleur aiguë et d’une douleur chronique"
"learning_objective_240","Hyperthyroïdie","242","Hyperthyroïdie"
"learning_objective_132","Thérapeutiques antalgiques, médicamenteuses et non médicamenteuses","135","Thérapeutiques antalgiques, médicamenteuses et non médicamenteuses."
"learning_objective_133","Anesthésie locale, locorégionale et générale","136","Anesthésie locale, locorégionale et générale"
"learning_objective_134","Douleur chez l'enfant : évaluation et traitements antalgiques","137","Douleur chez l’enfant : évaluation et traitements antalgique"
"learning_objective_135","Douleur en santé mentale","138","Douleur chez la personne vulnérable"
"learning_objective_136","Soins palliatifs pluridisciplinaires chez un malade en phase palliative ou terminale d'une maladie grave, chronique ou létale (1).","139","Soins palliatifs pluridisciplinaires chez un malade en phase palliative ou terminale d’une maladie grave, chronique ou létale (1). Principaux repères cliniques. Modalités d’organisation des équipes, en établissement de santé et en et en ambulatoire"
"learning_objective_137","Soins palliatifs pluridisciplinaires chez un malade en phase palliative ou terminale d'une maladie grave, chronique ou létale (2).","139","Soins palliatifs pluridisciplinaires chez un malade en phase palliative ou terminale d’une maladie grave, chronique ou létale (1). Principaux repères cliniques. Modalités d’organisation des équipes, en établissement de santé et en et en ambulatoire"
"learning_objective_138","Soins palliatifs pluridisciplinaires chez un malade en phase palliative ou terminale d'une maladie grave, chronique ou létale (3).","141","Soins palliatifs pluridisciplinaires chez un malade en phase palliative ou terminale d’une maladie grave, chronique ou létale (3). La sédation pour détresse en phase terminale et dans des situations spécifiques et complexes en fin de vie. Réponse à la demande d’euthanasie ou de suicide assisté"
"learning_objective_139","Connaître les aspects spécifiques des soins palliatifs en pédiatrie","142","Connaître les aspects spécifiques des soins palliatifs en pédiatrie"
"learning_objective_14","Formation tout au long de la vie. Analyse critique d'une information scientifique et médicale. Gestion des liens d'intérêt","20","La méthodologie de la recherche en santé"
"learning_objective_140","Connaître les aspects spécifiques des soins palliatifs en réanimation","143","Connaître les aspects spécifiques des soins palliatifs en réanimation"
"learning_objective_141","Deuil normal et pathologique","144","Deuil normal et pathologique"
"learning_objective_142","Surveillance des maladies infectieuses transmissibles","0","Item Not Found"
"learning_objective_143","Vaccinations","146","Vaccinations"
"learning_objective_144","Fièvre aiguë chez l'enfant et l'adulte","147","Fièvre aiguë chez l’enfant et l’adulte"
"learning_objective_145","Infections naso-sinusiennes de l'adulte et de l'enfant","148","Infections naso-sinusiennes de l’adulte et de l’enfant"
"learning_objective_146","Angines de l'adulte et de l'enfant et rhinopharyngites de l'enfant","149","Angines de l’adulte et de l’enfant"
"learning_objective_147","Otites infectieuses de l'adulte et de l'enfant","150","Otites infectieuses de l’adulte et de l’enfant"
"learning_objective_148","Méningites, méningoencéphalites chez l'adulte et l'enfant","151","Méningites, méningoencéphalites, abcès cérébral chez l’adulte et l’enfant"
"learning_objective_149","Endocardite infectieuse","152","Endocardite infectieuse"
"learning_objective_15","Organisation du système de soins. Sa régulation. Les indicateurs. Parcours de soins","16","Organisation du système de soins. Sa régulation. Les indicateurs. Parcours de soins"
"learning_objective_150","Surveillance des porteurs de valve et prothèses vasculaires","153","Surveillance des porteurs de prothèses valvulaires"
"learning_objective_151","Infections broncho pulmonaires communautaires de l'adulte et de l'enfant","154","Infections broncho pulmonaires communautaires de l’adulte et de l’enfant"
"learning_objective_152","Infections cutanéo-muqueuses et des phanères, bactériennes et mycosiques de l'adulte et de l'enfant","155","Infections cutanéo-muqueuses et des phanères, bactériennes et mycosiques de l’adulte et de l’enfant"
"learning_objective_153","Infections ostéo articulaires (IOA) de l'enfant et de l'adulte","156","Infections ostéo articulaires (IOA) de l’enfant et de l’adulte"
"learning_objective_154","Septicémie/Bactériémie/Fongémie de l'adulte et de l'enfant","158","Sepsis et choc septique de l’enfant et de l’adulte"
"learning_objective_155","Tuberculose de l'adulte et de l'enfant","0","Item Not Found"
"learning_objective_156","Tétanos","160","Tétanos"
"learning_objective_157","Infections urinaires de l'enfant et de l'adulte","161","Infections urinaires de l’enfant et de l’adulte"
"learning_objective_158","Infections sexuellement transmissibles (IST) : gonococcies, chlamydioses, syphilis, papillomavirus humain (HPV), trichomonose","162","Infections sexuellement transmissibles (IST) : gonococcies, chlamydioses, syphilis, papillomavirus humain (HPV), trichomonose"
"learning_objective_159","Coqueluche","163","Coqueluche"
"learning_objective_16","La sécurité sociale. L'assurance maladie. Les assurances complémentaires. La couverture médicale universelle.","0","Item Not Found"
"learning_objective_160","Exanthèmes fébriles de l'enfant","164","Exanthèmes fébriles de l’enfant"
"learning_objective_161","Oreillons","165","Oreillons"
"learning_objective_162","Grippe","166","Grippe"
"learning_objective_163","Hépatites virales","167","Hépatites virales"
"learning_objective_164","Infections à herpès virus du sujet immunocompétent","168","Infections à herpès virus du sujet immunocompétent"
"learning_objective_165","Infections à VIH","169","Infections à VIH"
"learning_objective_166","Paludisme","170","Paludisme"
"learning_objective_167","Gale et pédiculose","171","Gale et pédiculose"
"learning_objective_168","Parasitoses digestives : giardiose, amoebose, téniasis, ascaridiose, oxyurose","172","Parasitoses digestives : giardiose, amoebose, téniasis, ascaridiose, oxyurose, anguillulose, cryptosporidiose"
"learning_objective_169","Zoonoses","173","Zoonoses"
"learning_objective_17","Le système conventionnel","16","Organisation du système de soins. Sa régulation. Les indicateurs. Parcours de soins"
"learning_objective_170","Pathologie infectieuse chez les migrants adultes et enfants","174","Pathologie infectieuse chez les migrants adultes et enfants"
"learning_objective_171","Voyage en pays tropical de l'adulte et de l'enfant : conseils avant le départ, pathologies du retour : fièvre, diarrhée, manifestations cutanées","175","Voyage en pays tropical de l’adulte et de l’enfant : conseils avant le départ, pathologies du retour : fièvre, diarrhée, manifestations cutanées"
"learning_objective_172","Diarrhées infectieuses de l'adulte et de l'enfant","176","Diarrhées infectieuses de l’adulte et de l’enfant"
"learning_objective_173","Prescription et surveillance des anti-infectieux chez l'adulte et l'enfant (voir item 326)","0","Item Not Found"
"learning_objective_174","Risques émergents, bioterrorisme, maladies hautement transmissibles","178","Risques émergents, bioterrorisme, maladies hautement transmissibles"
"learning_objective_175","Risques sanitaires liés à l'eau et à l'alimentation. Toxi-infections alimentaires","179","Risques sanitaires liés à l’eau et à l’alimentation. Toxi-infections alimentaires"
"learning_objective_176","Risques sanitaires liés aux irradiations. Radioprotection","180","Risques sanitaires liés aux irradiations. Radioprotection"
"learning_objective_177","La sécurité sanitaire des produits destinés à l'homme. La veille sanitaire (voir item 322)","181","La sécurité sanitaire des produits destinés à l’homme. La veille sanitaire"
"learning_objective_178","Environnement professionnel et santé au travail","182","Environnement professionnel et santé au travail"
"learning_objective_179","Organisation de la médecine du travail. Prévention des risques professionnels","183","Organisation de la médecine du travail. Prévention des risques professionnels"
"learning_objective_18","La méthodologie de la recherche expérimentale et clinique","20","La méthodologie de la recherche en santé"
"learning_objective_180","Accidents du travail et maladies professionnelles : définitions et enjeux","184","Accidents du travail et maladies professionnelles : définition et enjeux"
"learning_objective_181","Réaction inflammatoire : aspects biologiques et cliniques. Conduite à tenir","185","Réaction inflammatoire : aspects biologiques et cliniques. Conduite à tenir"
"learning_objective_182","Hypersensibilités et Allergies chez l'enfant et l'adulte : aspects physiopathologiques, épidémiologiques, diagnostiques et principes de traitement","186","Hypersensibilités et allergies chez l’enfant et l’adulte : aspects physiopathologiques, épidémiologiques, diagnostiques et principes de traitement"
"learning_objective_183","Hypersensibilités et Allergies cutanéomuqueuses chez l'enfant et l'adulte. Urticaire, dermatites atopique et de contact","187","Hypersensibilités et allergies cutanéomuqueuses chez l’enfant et l’adulte. Urticaire, dermatites atopique et de contact"
"learning_objective_184","Hypersensibilité et Allergies respiratoires chez l'enfant et chez l'adulte. Asthme, rhinite","188","Hypersensibilité et allergies respiratoires chez l’enfant et chez l’adulte. Asthme, rhinite"
"learning_objective_185","Déficit immunitaire","189","Déficit immunitaire"
"learning_objective_186","Fièvre prolongée","190","Fièvre prolongée"
"learning_objective_187","Fièvre chez un patient immunodéprimé","191","Fièvre chez un patient immunodéprimé"
"learning_objective_188","Pathologies auto-immunes : aspects épidémiologiques, diagnostiques et principes de traitement","192","Pathologies auto-immunes : aspects épidémiologiques, diagnostiques et principes de traitement"
"learning_objective_189","Connaître les principaux types de vascularite systémique, les organes cibles, les outils diagnostiques et les moyens thérapeutiques","193","Connaître les principaux types de vascularite systémique, les organes cibles, les outils diagnostiques et les moyens thérapeutiques"
"learning_objective_19","Mesure de l'état de santé de la population","21","Mesure de l’état de santé de la population"
"learning_objective_190","Lupus érythémateux disséminé. Syndrome des anti-phospholipides","194","Lupus systémique (LS). Syndrome des anti-phospholipides (SAPL)"
"learning_objective_191","Artérite à cellules géantes","195","Artérite à cellules géantes"
"learning_objective_192","Polyarthrite rhumatoïde","196","Polyarthrite rhumatoïde"
"learning_objective_193","Spondyloarthrite ankylosante","197","Spondyloarthrite"
"learning_objective_194","Arthropathie microcristalline","198","Arthropathies microcristallines"
"learning_objective_195","Syndrome douloureux régional complexe (ex algodystrophie)","199","Syndrome douloureux régional complexe (ex algodystrophie)"
